Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",119.760000,-82.580000,180.000000,top
"C2","0.1uF","C_0805_2012Metric",187.940000,-63.990000,90.000000,top
"C3","0.1uF","C_0805_2012Metric",95.960000,-52.490000,180.000000,top
"C4","0.1uF","C_0805_2012Metric",113.310000,-52.590000,180.000000,top
"C5","0.1uF","C_0805_2012Metric",130.090000,-52.550000,180.000000,top
"C6","0.1uF","C_0805_2012Metric",155.480000,-74.190000,180.000000,top
"C7","0.1uF","C_0805_2012Metric",172.200000,-74.200000,180.000000,top
"C8","0.1uF","C_0805_2012Metric",85.410000,-132.960000,90.000000,top
"C9","0.1uF","C_0805_2012Metric",123.770000,-100.330000,180.000000,top
"C17","0.1uF","C_0805_2012Metric",222.260000,-82.850000,90.000000,top
"D1","V1 LED","LED_0603_1608Metric",76.630000,-48.730000,270.000000,top
"D2","V2 LED","LED_0603_1608Metric",93.758000,-135.770000,270.000000,top
"D3","V3 LED","LED_0603_1608Metric",174.970000,-135.865000,90.000000,top
"D4","5V LED","LED_0603_1608Metric",177.020000,-35.020000,90.000000,top
"D9","0603","LED_0603_1608Metric",77.260000,-68.470000,270.000000,top
"D10","0603","LED_0603_1608Metric",77.260000,-75.830714,270.000000,top
"D11","0603","LED_0603_1608Metric",77.260000,-83.191428,270.000000,top
"D12","0603","LED_0603_1608Metric",77.260000,-90.552142,270.000000,top
"D13","0603","LED_0603_1608Metric",77.260000,-97.912856,270.000000,top
"D14","0603","LED_0603_1608Metric",77.260000,-105.273570,270.000000,top
"D15","0603","LED_0603_1608Metric",77.260000,-112.634284,270.000000,top
"D16","0603","LED_0603_1608Metric",77.260000,-119.995000,270.000000,top
"D17","0603","LED_0603_1608Metric",116.534800,-134.740000,0.000000,top
"D18","0603","LED_0603_1608Metric",123.895514,-134.740000,0.000000,top
"D19","0603","LED_0603_1608Metric",131.256228,-134.740000,0.000000,top
"D20","0603","LED_0603_1608Metric",138.616942,-134.740000,0.000000,top
"D21","0603","LED_0603_1608Metric",145.977656,-134.740000,0.000000,top
"D22","0603","LED_0603_1608Metric",153.338370,-134.740000,0.000000,top
"D23","0603","LED_0603_1608Metric",160.699084,-134.740000,0.000000,top
"D24","0603","LED_0603_1608Metric",168.059800,-134.740000,0.000000,top
"D25","0603","LED_0603_1608Metric",195.424800,-134.840000,0.000000,top
"D26","0603","LED_0603_1608Metric",202.785514,-134.840000,0.000000,top
"D27","0603","LED_0603_1608Metric",210.146228,-134.840000,0.000000,top
"D28","0603","LED_0603_1608Metric",217.506942,-134.840000,0.000000,top
"D29","0603","LED_0603_1608Metric",224.867656,-134.840000,0.000000,top
"D30","0603","LED_0603_1608Metric",232.228370,-134.840000,0.000000,top
"D31","0603","LED_0603_1608Metric",239.589084,-134.840000,0.000000,top
"D32","0603","LED_0603_1608Metric",246.949800,-134.840000,0.000000,top
"R1","33","R_0805_2012Metric",110.550000,-82.520000,0.000000,top
"R2","33","R_0805_2012Metric",110.550000,-80.227142,0.000000,top
"R3","33","R_0805_2012Metric",110.550000,-77.934285,0.000000,top
"R4","33","R_0805_2012Metric",110.550000,-75.641428,0.000000,top
"R5","33","R_0805_2012Metric",110.550000,-73.348571,0.000000,top
"R6","33","R_0805_2012Metric",110.550000,-71.055714,0.000000,top
"R7","33","R_0805_2012Metric",110.550000,-68.762857,0.000000,top
"R8","33","R_0805_2012Metric",110.550000,-66.470000,0.000000,top
"R9","33","R_0805_2012Metric",168.590000,-113.135000,90.000000,top
"R10","33","R_0805_2012Metric",156.260000,-105.180000,180.000000,top
"R11","33","R_0805_2012Metric",152.890000,-113.135000,90.000000,top
"R12","33","R_0805_2012Metric",140.648332,-105.180000,180.000000,top
"R13","33","R_0805_2012Metric",137.300000,-113.135000,90.000000,top
"R14","33","R_0805_2012Metric",125.076666,-105.180000,180.000000,top
"R15","33","R_0805_2012Metric",121.780000,-113.135000,90.000000,top
"R16","33","R_0805_2012Metric",110.460000,-105.180000,180.000000,top
"R17","33","R_0805_2012Metric",214.700000,-101.680000,90.000000,top
"R18","33","R_0805_2012Metric",217.005714,-101.680000,90.000000,top
"R19","33","R_0805_2012Metric",219.311428,-101.680000,90.000000,top
"R20","33","R_0805_2012Metric",221.617142,-101.680000,90.000000,top
"R21","33","R_0805_2012Metric",223.922856,-101.680000,90.000000,top
"R22","33","R_0805_2012Metric",226.228570,-101.680000,90.000000,top
"R23","33","R_0805_2012Metric",228.534285,-101.610000,90.000000,top
"R24","33","R_0805_2012Metric",230.840000,-101.680000,90.000000,top
"R25","2.2k","R_0805_2012Metric",76.630000,-44.360000,90.000000,top
"R26","2.2k","R_0805_2012Metric",96.806000,-135.770000,270.000000,top
"R27","2.2k","R_0805_2012Metric",174.970000,-130.590000,270.000000,top
"R28","2.2k","R_0805_2012Metric",174.960000,-35.220000,90.000000,top
"R29","4.7k","R_0805_2012Metric",191.120000,-70.700000,180.000000,top
"R30","120","R_0805_2012Metric",146.381666,-70.390000,180.000000,top
"R31","120","R_0805_2012Metric",150.723332,-70.390000,180.000000,top
"R32","120","R_0805_2012Metric",164.801666,-70.390000,180.000000,top
"R33","120","R_0805_2012Metric",169.143332,-70.390000,180.000000,top
